목장 이름,파라과이 A Ranch
BLE 전송 거리(m),500
중첩 거리(m),50
필요 기지국 수,51

기지국 번호,위도(Latitude),경도(Longitude)
BS 1,-21.09389,-59.98087
BS 2,-21.09389,-59.97334
BS 3,-21.09389,-59.96582
BS 4,-21.09997,-59.97711
BS 5,-21.09997,-59.96958
BS 6,-21.09997,-59.96205
BS 7,-21.10605,-59.98087
BS 8,-21.10605,-59.97334
BS 9,-21.10605,-59.96582
BS 10,-21.11213,-59.97711
BS 11,-21.11213,-59.96958
BS 12,-21.11821,-59.98087
BS 13,-21.11821,-59.97334
BS 14,-21.11821,-59.96582
BS 15,-21.12429,-59.97711
BS 16,-21.12429,-59.96958
BS 17,-21.13038,-59.98087
BS 18,-21.13038,-59.97334
BS 19,-21.13038,-59.96582
BS 20,-21.13646,-59.97711
BS 21,-21.13646,-59.96958
BS 22,-21.14254,-59.98087
BS 23,-21.14254,-59.97334
BS 24,-21.14254,-59.96582
BS 25,-21.14862,-59.97711
BS 26,-21.14862,-59.96958
BS 27,-21.09376,-59.93888
BS 28,-21.09376,-59.93135
BS 29,-21.09376,-59.92382
BS 30,-21.09984,-59.93511
BS 31,-21.09984,-59.92759
BS 32,-21.10593,-59.93888
BS 33,-21.10593,-59.93135
BS 34,-21.10593,-59.92382
BS 35,-21.11201,-59.93511
BS 36,-21.11201,-59.92759
BS 37,-21.11809,-59.93888
BS 38,-21.11809,-59.93135
BS 39,-21.11809,-59.92382
BS 40,-21.12417,-59.93511
BS 41,-21.12417,-59.92759
BS 42,-21.13025,-59.93888
BS 43,-21.13025,-59.93135
BS 44,-21.13025,-59.92382
BS 45,-21.13633,-59.93511
BS 46,-21.13633,-59.92759
BS 47,-21.14241,-59.93888
BS 48,-21.14241,-59.93135
BS 49,-21.14241,-59.92382
BS 50,-21.14849,-59.93511
BS 51,-21.14849,-59.92759
